AQ,1,2,3,4,5,6,7,8,9,10
1,247,617,494,390,483,308,111,184,429,6
2,216,681,675,713,830,648,193,126,32,83
3,290,687,1025,453,344,370,787,201,57,66
4,889,1046,661,474,922,250,169,83,52,89
5,499,1071,1049,731,676,834,277,109,107,46
6,316,574,858,334,127,166,49,10,29,7
7,7,22,10,17,2,0,0,0,0,0
8,9,24,5,8,5,0,0,0,363,1
9,72,505,559,291,219,105,77,57,63,122
10,281,1103,1185,424,740,851,193,236,26,29
